thr,FP,FN,FPR,FNR,FP_plus_FN,max_FPR_FNR
0.404,204,29,0.5811965811965812,0.05555555555555555,233,0.5811965811965812
0.406,203,31,0.5783475783475783,0.05938697318007663,234,0.5783475783475783
0.40800000000000003,201,32,0.5726495726495726,0.06130268199233716,233,0.5726495726495726
0.41000000000000003,198,32,0.5641025641025641,0.06130268199233716,230,0.5641025641025641
0.41200000000000003,198,34,0.5641025641025641,0.06513409961685823,232,0.5641025641025641
0.41400000000000003,198,34,0.5641025641025641,0.06513409961685823,232,0.5641025641025641
0.41600000000000004,197,35,0.5612535612535613,0.06704980842911877,232,0.5612535612535613
0.418,195,35,0.5555555555555556,0.06704980842911877,230,0.5555555555555556
0.42,193,35,0.5498575498575499,0.06704980842911877,228,0.5498575498575499
0.422,193,39,0.5498575498575499,0.07471264367816093,232,0.5498575498575499
0.424,191,39,0.5441595441595442,0.07471264367816093,230,0.5441595441595442
0.426,189,39,0.5384615384615384,0.07471264367816093,228,0.5384615384615384
0.428,188,41,0.5356125356125356,0.07854406130268199,229,0.5356125356125356
0.43,187,41,0.5327635327635327,0.07854406130268199,228,0.5327635327635327
0.432,186,43,0.5299145299145299,0.08237547892720307,229,0.5299145299145299
0.434,185,43,0.5270655270655271,0.08237547892720307,228,0.5270655270655271
0.436,185,43,0.5270655270655271,0.08237547892720307,228,0.5270655270655271
0.438,185,43,0.5270655270655271,0.08237547892720307,228,0.5270655270655271
0.44,184,43,0.5242165242165242,0.08237547892720307,227,0.5242165242165242
0.442,180,43,0.5128205128205128,0.08237547892720307,223,0.5128205128205128
0.444,178,44,0.5071225071225072,0.0842911877394636,222,0.5071225071225072
0.446,178,44,0.5071225071225072,0.0842911877394636,222,0.5071225071225072
0.448,178,45,0.5071225071225072,0.08620689655172414,223,0.5071225071225072
0.45,177,47,0.5042735042735043,0.09003831417624521,224,0.5042735042735043
0.452,177,48,0.5042735042735043,0.09195402298850575,225,0.5042735042735043
0.454,176,48,0.5014245014245015,0.09195402298850575,224,0.5014245014245015
0.456,174,49,0.49572649572649574,0.09386973180076628,223,0.49572649572649574
0.458,174,50,0.49572649572649574,0.09578544061302682,224,0.49572649572649574
0.46,173,51,0.4928774928774929,0.09770114942528736,224,0.4928774928774929
0.462,172,53,0.49002849002849,0.10153256704980843,225,0.49002849002849
0.464,172,53,0.49002849002849,0.10153256704980843,225,0.49002849002849
0.466,172,57,0.49002849002849,0.10919540229885058,229,0.49002849002849
0.468,169,59,0.48148148148148145,0.11302681992337164,228,0.48148148148148145
0.47000000000000003,167,59,0.4757834757834758,0.11302681992337164,226,0.4757834757834758
0.47200000000000003,166,60,0.47293447293447294,0.11494252873563218,226,0.47293447293447294
0.47400000000000003,166,60,0.47293447293447294,0.11494252873563218,226,0.47293447293447294
0.47600000000000003,165,60,0.4700854700854701,0.11494252873563218,225,0.4700854700854701
0.47800000000000004,164,62,0.4672364672364672,0.11877394636015326,226,0.4672364672364672
0.48,162,62,0.46153846153846156,0.11877394636015326,224,0.46153846153846156
0.482,162,64,0.46153846153846156,0.12260536398467432,226,0.46153846153846156
0.484,161,65,0.4586894586894587,0.12452107279693486,226,0.4586894586894587
0.486,158,65,0.45014245014245013,0.12452107279693486,223,0.45014245014245013
0.488,158,67,0.45014245014245013,0.12835249042145594,225,0.45014245014245013
0.49,158,67,0.45014245014245013,0.12835249042145594,225,0.45014245014245013
0.492,158,67,0.45014245014245013,0.12835249042145594,225,0.45014245014245013
0.494,155,67,0.4415954415954416,0.12835249042145594,222,0.4415954415954416
